blogs,Rating,Discussion of Costs,Quantification of Benefits,Explanation/Quantification of Harms
https://www.healthnewsreview.org/review/guardian-jumps-to-conclusions-about-an-alzheimers-study-that-hasnt-even-begun/,1,Not Satisfactory,Not Applicable,Not Satisfactory
https://www.healthnewsreview.org/review/in-story-on-experimental-contraceptive-gel-reuters-lets-drug-company-control-the-narrative/,3,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/using-a-single-patient-anecdote-abc-news-hails-dna-fertility-test-as-breakthrough/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/hard-to-find-the-journalism-in-this-brief-reuters-story-on-clinical-trial-results-for-psoriasis-drug/,2,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/a-little-more-context-would-have-boosted-already-strong-healthday-story-on-drug-for-hot-flashes/,5,Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/props-to-npr-for-highlighting-the-need-for-balanced-decision-making-around-statins/,4,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/independent-source-injects-caution-into-a-heathday-story-on-nerve-zap-for-back-pain/,3,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/newsweek-trumpets-an-aggressive-new-cancer-drug-but-wheres-the-data/,1,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/usa-today-provides-rosy-speculation-about-an-alzheimers-vaccine-not-yet-tested-in-humans/,3,Not Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/cnn-delivers-a-balanced-report-on-peanut-allergy-treatment/,5,Not Satisfactory,Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/fox-spreads-breakthrough-claim-but-no-real-reporting-on-peanut-allergy-treatment/,2,Not Satisfactory,Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/bloomberg-uncritically-touts-greater-effectiveness-of-cell-based-flu-vaccine/,3,Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/reuters-rehashes-merck-announcement-on-keytruda-trial-for-esophageal-cancer/,1,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/cnn-overstates-evidence-linking-strong-neck-pulse-to-increased-dementia-risk/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/fox-news-regurgitates-a-hot-mess-from-the-uk-sun/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
https://www.healthnewsreview.org/review/thoughtful-and-thorough-ap-story-looks-at-growing-trend-of-using-ketamine-for-depression/,5,Satisfactory,Not Satisfactory,Satisfactory
https://www.healthnewsreview.org/review/abc-news-story-perpetuates-misinformation-that-new-drug-will-prevent-spread-of-flu/,2,Not Satisfactory,Not Satisfactory,Not Satisfactory
